Kurulum,Model,RMSE,Sure (s)
Tek degiskenli (Close),LSTM,46.03218054854782,0.7727580070495605
Tek degiskenli (Close),GRU,22.968342654327554,0.5001552104949951
Cok degiskenli (OHLCV),LSTM,58.05626561187865,0.5217597484588623
Cok degiskenli (OHLCV),GRU,47.98774632857703,0.49858856201171875
