Date,Close,High,Low,Open,Volume
2014-01-02,30.636770248413086,30.834640978031317,30.587301779746394,30.79341568161813,30632200
2014-01-03,30.430662155151367,30.686244574475417,30.17507973582732,30.669755081772337,31134800
2014-01-06,29.78757667541504,30.414161441719834,29.771087188795438,30.381182468480638,43603700
2014-01-07,30.018421173095703,30.084379115124893,29.853529463070505,29.95246637611429,35802800
2014-01-08,29.482528686523438,29.795822671911314,29.33412958296948,29.680399399675856,59971700
2014-01-09,29.29290771484375,29.606201736861216,29.185730746693256,29.58146907421859,36516300
2014-01-10,29.71337890625,29.8040695203528,29.474286040896857,29.59795563195492,40548800
2014-01-13,28.83945655822754,29.696891138455385,28.715790105052395,29.672158476830063,45901900
2014-01-14,29.499013900756836,29.581461329728445,28.550892055442105,28.63333633936588,41623300
2014-01-15,30.30698585510254,30.331721661231892,29.5567314001803,29.597956695379736,44812600
2014-01-16,30.41415786743164,30.50484846065743,29.935975391851503,30.249266165661805,38018700
2014-01-17,29.993698120117188,30.36470380019282,29.804073693644927,30.36470380019282,46267500
2014-01-21,29.8205623626709,30.356459847314547,29.729874873852633,30.356459847314547,31567300
2014-01-22,29.622690200805664,29.944227384216006,29.47428793999342,29.89475891559574,21904300
2014-01-23,29.729862213134766,29.787573838282594,29.284655551953506,29.754594868184494,43954000
2014-01-24,30.34821319580078,30.958308607272564,30.11736347830859,30.875864301413785,76395500
2014-01-27,29.70512580871582,30.414157926161927,29.663903669455664,30.39766844144834,44420800
2014-01-28,29.90300941467285,30.001943220700216,29.474292061822286,29.779339798351902,36205500
2014-01-29,30.224546432495117,30.40592769648922,29.5979614719548,29.66391629383059,52745900
2014-01-30,30.38942527770996,30.405914762426857,29.870017516794498,30.33171365372465,35036300
2014-01-31,31.19740104675293,31.238623199086955,30.14209885076846,30.463636042041937,93162300
2014-02-03,30.076141357421875,31.32107113453701,30.034919204448567,31.1149572246218,64063100
2014-02-04,29.968950271606445,30.661492881174105,29.886505995843816,30.480114845486817,54697900
2014-02-05,29.532011032104492,30.0679086422855,29.51552153617049,29.919506323929212,55814400
2014-02-06,29.828798294067383,29.886509923695513,29.424813741622547,29.515504343909015,35351800
2014-02-07,30.142099380493164,30.166832043318514,29.6886462617039,29.944228642744335,33260500
2014-02-10,30.339963912963867,30.339963912963867,29.91949296210019,30.199807977692096,26767000
2014-02-11,30.645000457763672,30.719201556852212,30.389421340384324,30.405910822964803,32141400
2014-02-12,30.892349243164062,30.999526195990555,30.752190169782033,30.793412316642087,27051800
2014-02-13,31.007783889770508,31.21389784474633,30.776937266613384,30.776937266613384,37635500
2014-02-14,31.016014099121094,31.147926849362698,30.776924401528714,30.826389717214287,31407500
2014-02-18,31.082469940185547,31.381500103126257,31.074164955051526,31.256906314322464,32834000
2014-02-19,31.157228469848633,31.356582974347354,30.908037715699493,30.916345869729465,29750400
2014-02-20,31.356569290161133,31.456244914595302,31.065847398631895,31.20705426919439,27526100
2014-02-21,31.547622680664062,31.854957773766646,31.447947033723274,31.514396408806572,38021300
2014-02-24,31.306739807128906,31.547625547034713,31.182146029290433,31.306739807128906,32085100
2014-02-25,31.182147979736328,31.439643704554733,31.024324748517643,31.240292380090946,30736500
2014-02-26,31.123994827270508,31.348267380700637,30.89141412262188,31.21536547888626,41041800
2014-02-27,31.447935104370117,31.472853214495043,30.92463261133332,31.10737386859739,33903400
2014-02-28,31.821725845336914,31.946319577301068,31.41471204954007,31.54761393148032,41215000
2014-03-03,31.38149642944336,31.67222157321624,31.140613865168767,31.497785219499757,29717500
2014-03-04,31.904800415039062,31.962944812366647,31.62238341289137,31.730367223056312,26802400
2014-03-05,31.65559959411621,31.788501484005494,31.50608457191189,31.771888351690457,20520100
2014-03-06,31.6888370513916,31.76359458889847,31.47286942364637,31.680528897984104,23582200
2014-03-07,31.481172561645508,31.86326517308233,31.306736222831645,31.796812630937694,26591600
2014-03-10,31.414718627929688,31.57253865558486,31.331656122559906,31.55592868941608,19006600
2014-03-11,31.58085823059082,31.755291456141467,31.33166745571381,31.456261258836005,25216400
2014-03-12,31.788516998291016,31.921418953042675,31.389811134036027,31.398116119931267,30494100
2014-03-13,31.472869873046875,31.938028242912953,31.26521039574397,31.913106950966736,32169700
2014-03-14,31.31505584716797,31.680535456961874,31.157232586071803,31.27352457742842,27195600
2014-03-17,31.605764389038086,31.904794473107028,31.389799977561303,31.48117063309697,20479600
2014-03-18,32.85172653198242,33.142451682415654,31.74697983250561,31.780202938545788,64063900
2014-03-19,32.61914825439453,32.85172583490048,32.32011812595437,32.78527645559816,35597200
2014-03-20,33.4996223449707,33.7654261743884,32.59422706081929,32.602532044212275,59269800
2014-03-21,33.358421325683594,34.00631793953233,33.23382436057463,33.82357973764028,80721800
2014-03-24,33.640830993652344,33.757119778995,33.109223307153485,33.50792907202763,46098400
2014-03-25,33.5079345703125,34.047850497862555,33.19229126642329,33.77373845717744,43193100
2014-03-26,33.05107116699219,33.815256245044004,32.89324799362378,33.62420997553105,41977500
2014-03-27,32.693904876708984,33.20059445039571,32.677291740187734,33.00954813334907,35369200
2014-03-28,33.474700927734375,33.75711789147459,32.95970640631336,33.05107706643984,43472700
2014-03-31,34.047847747802734,34.47147166807984,33.557771276860656,33.58268939904401,46886300
2014-04-01,34.405006408691406,34.546216442377464,34.11428452850077,34.180737054619115,32605000
2014-04-02,34.346866607666016,34.604365427727245,34.19735157261515,34.42162412519145,28666700
2014-04-03,34.064453125,34.29703385234384,33.81526243086093,34.29703385234384,30139600
2014-04-04,33.11754608154297,34.3801165995396,32.92649966461784,34.26382775172721,51409600
2014-04-07,33.05939865112305,33.449799606389156,33.0095623886691,33.192300632055506,37559600
2014-04-08,33.07600402832031,33.167374712875564,32.56100936921085,33.01785962335468,35918600
2014-04-09,33.61589431762695,33.68234365744351,33.1258181580386,33.16734939150269,27398700
2014-04-10,32.693904876708984,33.7986515220016,32.46963228661985,33.590992068433714,45960800
2014-04-11,32.56930923461914,33.051080707032824,32.39487604714464,32.39487604714464,34330200
2014-04-14,32.54438400268555,32.7354302856023,32.31180647020102,32.486239619564415,32006600
2014-04-15,33.01784133911133,33.19227445741263,32.43639444280965,32.67728008349088,33968700
2014-04-16,33.55776596069336,33.57437592709626,33.15075207392896,33.27534900237132,30615800
2014-04-17,33.23381042480469,33.391633603581155,32.818491606771666,33.23381042480469,36688400
2014-04-21,33.1756706237793,33.35010695959432,33.05107686234749,33.33349382434376,22221200
2014-04-22,33.21720504760742,33.34179880904443,33.08430313422902,33.192283760414774,27056700
2014-04-23,32.968017578125,33.21721148656689,32.7852793922017,33.21721148656689,24602800
2014-04-24,33.10922622680664,33.20059690009938,32.64406787578545,33.0095505689564,42381600
2014-04-25,33.15074920654297,33.790340591204476,33.01784730639456,33.46639240763217,56876800
